1500,0,0,0,0
1510,0,0,0,0
1520,0,0,0,0
1530,0,0,0,0
1540,0,0,0,0
1550,0,0,0,0
1560,0,0,0,0
1570,0,792.994299715,47.3246152778,38
1580,0,740.259217842,58.0529140608,73
1590,0,9106.88883963,378.00982912,117
1600,0,18251.5626551,269.822562993,233
1610,0,11633.3292539,298.619045621,258
1620,0,9016.53550751,88.8322862182,328
1630,0,12292.1125476,184.810861999,437
1640,0.0,17737.2621859,379.471211355,324
1650,0,24389.445474,510.737838585,556
1660,0,24361.5545771,400.02015549,507
1670,0,36655.8303295,730.4978202,590
1680,0.0,24501.4685235,420.800031235,521
1690,0.0,26132.3081007,444.933524628,473
1700,0,26220.7309444,261.496090174,474
1710,0.0,24272.0477486,211.630583104,472
1720,0,24345.2026405,436.546070794,570
1730,0,13914.4566329,185.32981414,491
1740,0,23673.7936544,326.183582697,441
1750,0,14393.2086635,250.714624384,404
1760,0,24094.7528335,369.313133242,408
1770,0,14987.2420684,190.948391641,435
1780,0,24271.9221634,303.811558214,494
1790,0,24191.2453221,270.643352524,426
1800,0,24304.9286611,209.988890905,453
1810,0,24343.8213123,462.107653887,377
1820,0,37774.282662,548.817021711,416
1830,0,24227.664276,298.213803092,298
1840,0,11275.4542785,177.955327616,268
1850,0,14993.8716658,187.731060386,198
1860,0,735.499722175,111.511063991,84
1870,0.0,356.664056076,72.7787745227,30
1880,309.942266307,309.942266307,309.942266307,1
1890,0,0,0,0
