1500,0,0,0,0
1510,0,44.8634975117,22.4317487558,2
1520,0,292.727588944,49.5647504376,10
1530,0.0,9095.79732214,494.644881089,26
1540,0,9170.8255569,610.838958092,37
1550,0.0,503.767379715,120.16444484,40
1560,0,18251.5626551,553.991681122,62
1570,0,11633.3292539,339.960459066,101
1580,0,24262.9441046,423.622767176,252
1590,0,17778.9387207,451.499019988,236
1600,0,24501.4685235,678.908137107,245
1610,0,24594.9017861,921.950666335,245
1620,0.0,24369.8260613,758.117462835,288
1630,0,26132.3081007,462.72327143,419
1640,0,26220.7309444,507.188617382,335
1650,0,12283.6394779,176.807004116,286
1660,0,24272.0477486,230.065624347,413
1670,0,24274.8467691,302.73786452,386
1680,0,6923.1078967,120.46918555,307
1690,0.0,24094.7528335,282.9427563,477
1700,0,15383.877184,238.716665632,458
1710,0,23673.7936544,235.428928118,465
1720,0,14987.2420684,284.06170258,460
1730,0,12164.1695717,186.221838148,407
1740,0,24304.9286611,577.003066458,337
1750,0,24466.8015972,424.024386218,466
1760,0,37774.282662,390.273254669,398
1770,0,24227.664276,277.663413116,405
1780,0,12133.747762,161.841654764,296
1790,0,479.552391344,67.4691742965,96
1800,0,0,0,0
1810,0,0,0,0
1820,0,0,0,0
1830,0,0,0,0
1840,0,0,0,0
1850,0,0,0,0
1860,0,0,0,0
1870,0,0,0,0
1880,0,0,0,0
1890,0,0,0,0
