1500,0
1510,0
1520,0
1530,0
1540,0
1550,0
1560,0
1570,4
1580,7
1590,20
1600,23
1610,38
1620,30
1630,47
1640,48
1650,66
1660,77
1670,37
1680,33
1690,67
1700,77
1710,69
1720,79
1730,115
1740,103
1750,115
1760,133
1770,159
1780,174
1790,159
1800,144
1810,133
1820,146
1830,150
1840,139
1850,80
1860,32
1870,4
1880,0
1890,0
